id,name,time_submit,time_start,time_end,user,group,time_limit,required_cpus,used portion of time limit,avg_aborted_task,Average congestion,Average cpus,Duration (minutes),Wait time / time limit,Average time_limit,task_time,state
 fen1.bg.cmc.msu.ru.10916114, fen1.bg.cmc.msu.ru.10916114,2017-01-01 04:50,2017-01-01 04:50,2017-01-02 02:36,pseudo_cluster_user_1,pseudo_cluster_group_1,1440,1024,0.182,0.234,582.846,512.582,714.294,0.287,1075.579,1306, Removed
 fen1.bg.cmc.msu.ru.10916115, fen1.bg.cmc.msu.ru.10916115,2017-01-01 06:07,2017-01-01 06:07,2017-01-01 06:08,pseudo_cluster_user_2,pseudo_cluster_group_2,15,128,0.125,0.071,1.339,155.429,130.629,10.722,64.726,1, Completed
 fen1.bg.cmc.msu.ru.10916116, fen1.bg.cmc.msu.ru.10916116,2017-01-01 06:13,2017-01-01 06:13,2017-01-01 06:13,pseudo_cluster_user_2,pseudo_cluster_group_2,15,128,0.125,0.071,1.339,155.429,130.629,10.722,64.726,0, Completed
 fen1.bg.cmc.msu.ru.10916117, fen1.bg.cmc.msu.ru.10916117,2017-01-01 06:15,2017-01-01 06:15,2017-01-01 06:18,pseudo_cluster_user_2,pseudo_cluster_group_2,15,128,0.125,0.071,1.339,155.429,130.629,10.722,64.726,3, Completed
 fen1.bg.cmc.msu.ru.10916118, fen1.bg.cmc.msu.ru.10916118,2017-01-01 06:22,2017-01-01 10:44,2017-01-01 10:46,pseudo_cluster_user_2,pseudo_cluster_group_2,5,512,0.125,0.071,1.339,155.429,130.629,10.722,64.726,2, Completed
 fen1.bg.cmc.msu.ru.10916119, fen1.bg.cmc.msu.ru.10916119,2017-01-01 07:05,2017-01-01 07:05,2017-01-01 07:20,pseudo_cluster_user_2,pseudo_cluster_group_2,15,32,0.125,0.071,1.339,155.429,130.629,10.722,64.726,15, Removed
 fen1.bg.cmc.msu.ru.10916120, fen1.bg.cmc.msu.ru.10916120,2017-01-01 07:06,2017-01-01 07:06,2017-01-01 07:36,pseudo_cluster_user_2,pseudo_cluster_group_2,30,32,0.125,0.071,1.339,155.429,130.629,10.722,64.726,30, Removed
 fen1.bg.cmc.msu.ru.10916121, fen1.bg.cmc.msu.ru.10916121,2017-01-01 13:04,2017-01-01 13:04,2017-01-02 13:04,pseudo_cluster_user_1,pseudo_cluster_group_1,1440,512,0.182,0.234,582.846,512.582,714.294,0.287,1075.579,1440, Removed
 fen1.bg.cmc.msu.ru.10916122, fen1.bg.cmc.msu.ru.10916122,2017-01-01 13:19,2017-01-01 13:19,2017-01-01 19:19,pseudo_cluster_user_3,pseudo_cluster_group_3,360,256,0.127,0.52,16.763,96.373,73.092,0.155,149.144,360, Removed
 fen1.bg.cmc.msu.ru.10916123, fen1.bg.cmc.msu.ru.10916123,2017-01-01 14:29,2017-01-01 14:29,2017-01-01 14:30,pseudo_cluster_user_4,pseudo_cluster_group_4,15,32,0.099,0.023,0.01,102.698,4.25,0.105,16.93,1, Completed
 fen1.bg.cmc.msu.ru.10916124, fen1.bg.cmc.msu.ru.10916124,2017-01-01 14:29,2017-01-01 14:29,2017-01-01 14:30,pseudo_cluster_user_4,pseudo_cluster_group_4,15,32,0.099,0.023,0.01,102.698,4.25,0.105,16.93,1, Completed
 fen1.bg.cmc.msu.ru.10916125, fen1.bg.cmc.msu.ru.10916125,2017-01-01 14:32,2017-01-01 14:32,2017-01-01 14:37,pseudo_cluster_user_4,pseudo_cluster_group_4,15,32,0.099,0.023,0.01,102.698,4.25,0.105,16.93,5, Completed
 fen1.bg.cmc.msu.ru.10916126, fen1.bg.cmc.msu.ru.10916126,2017-01-01 14:38,2017-01-01 14:38,2017-01-01 14:41,pseudo_cluster_user_4,pseudo_cluster_group_4,15,32,0.099,0.023,0.01,102.698,4.25,0.105,16.93,3, Completed
 fen1.bg.cmc.msu.ru.10916127, fen1.bg.cmc.msu.ru.10916127,2017-01-01 17:46,2017-01-01 17:47,2017-01-01 17:48,pseudo_cluster_user_4,pseudo_cluster_group_4,15,64,0.099,0.023,0.01,102.698,4.25,0.105,16.93,1, Completed
 fen1.bg.cmc.msu.ru.10916128, fen1.bg.cmc.msu.ru.10916128,2017-01-01 17:46,2017-01-01 17:50,2017-01-01 17:51,pseudo_cluster_user_4,pseudo_cluster_group_4,15,128,0.099,0.023,0.01,102.698,4.25,0.105,16.93,1, Completed
 fen1.bg.cmc.msu.ru.10916129, fen1.bg.cmc.msu.ru.10916129,2017-01-01 17:47,2017-01-01 17:47,2017-01-01 17:49,pseudo_cluster_user_4,pseudo_cluster_group_4,15,64,0.099,0.023,0.01,102.698,4.25,0.105,16.93,2, Completed
 fen1.bg.cmc.msu.ru.10916130, fen1.bg.cmc.msu.ru.10916130,2017-01-01 17:47,2017-01-01 17:51,2017-01-01 17:52,pseudo_cluster_user_4,pseudo_cluster_group_4,15,128,0.099,0.023,0.01,102.698,4.25,0.105,16.93,1, Completed
 fen1.bg.cmc.msu.ru.10916131, fen1.bg.cmc.msu.ru.10916131,2017-01-01 17:49,2017-01-01 17:52,2017-01-01 17:53,pseudo_cluster_user_4,pseudo_cluster_group_4,15,128,0.099,0.023,0.01,102.698,4.25,0.105,16.93,1, Completed
 fen1.bg.cmc.msu.ru.10916132, fen1.bg.cmc.msu.ru.10916132,2017-01-01 20:57,2017-01-01 20:59,2017-01-01 21:00,pseudo_cluster_user_5,pseudo_cluster_group_1,15,64,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916133, fen1.bg.cmc.msu.ru.10916133,2017-01-01 21:14,2017-01-01 21:14,2017-01-01 21:15,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916134, fen1.bg.cmc.msu.ru.10916134,2017-01-01 21:14,2017-01-01 21:14,2017-01-01 21:15,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916135, fen1.bg.cmc.msu.ru.10916135,2017-01-01 21:14,2017-01-01 21:15,2017-01-01 21:15,pseudo_cluster_user_5,pseudo_cluster_group_1,15,64,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916136, fen1.bg.cmc.msu.ru.10916136,2017-01-01 21:15,2017-01-01 21:15,2017-01-01 21:15,pseudo_cluster_user_5,pseudo_cluster_group_1,15,128,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916137, fen1.bg.cmc.msu.ru.10916137,2017-01-01 21:15,2017-01-01 21:15,2017-01-01 21:27,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,12, Completed
 fen1.bg.cmc.msu.ru.10916138, fen1.bg.cmc.msu.ru.10916138,2017-01-01 21:15,2017-01-01 21:16,2017-01-01 21:17,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916139, fen1.bg.cmc.msu.ru.10916139,2017-01-01 21:15,2017-01-01 21:17,2017-01-01 21:18,pseudo_cluster_user_5,pseudo_cluster_group_1,15,64,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916140, fen1.bg.cmc.msu.ru.10916140,2017-01-01 21:15,2017-01-01 21:18,2017-01-01 21:18,pseudo_cluster_user_5,pseudo_cluster_group_1,15,128,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916141, fen1.bg.cmc.msu.ru.10916141,2017-01-01 21:17,2017-01-01 21:18,2017-01-01 21:33,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,15, Removed
 fen1.bg.cmc.msu.ru.10916142, fen1.bg.cmc.msu.ru.10916142,2017-01-01 21:17,2017-01-01 21:27,2017-01-01 21:42,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,15, Removed
 fen1.bg.cmc.msu.ru.10916143, fen1.bg.cmc.msu.ru.10916143,2017-01-01 21:17,2017-01-01 21:33,2017-01-01 21:37,pseudo_cluster_user_5,pseudo_cluster_group_1,15,64,0.621,0.122,0.198,144.938,39.281,2.774,10.371,4, Completed
 fen1.bg.cmc.msu.ru.10916144, fen1.bg.cmc.msu.ru.10916144,2017-01-01 21:17,2017-01-01 21:37,2017-01-01 21:39,pseudo_cluster_user_5,pseudo_cluster_group_1,15,128,0.621,0.122,0.198,144.938,39.281,2.774,10.371,2, Completed
 fen1.bg.cmc.msu.ru.10916145, fen1.bg.cmc.msu.ru.10916145,2017-01-01 21:26,2017-01-01 21:39,2017-01-01 21:54,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,15, Removed
 fen1.bg.cmc.msu.ru.10916146, fen1.bg.cmc.msu.ru.10916146,2017-01-01 21:26,2017-01-01 21:42,2017-01-01 21:54,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,12, Completed
 fen1.bg.cmc.msu.ru.10916147, fen1.bg.cmc.msu.ru.10916147,2017-01-01 21:26,2017-01-01 21:54,2017-01-01 21:56,pseudo_cluster_user_5,pseudo_cluster_group_1,15,64,0.621,0.122,0.198,144.938,39.281,2.774,10.371,2, Completed
 fen1.bg.cmc.msu.ru.10916148, fen1.bg.cmc.msu.ru.10916148,2017-01-01 21:26,2017-01-01 21:55,2017-01-01 21:56,pseudo_cluster_user_5,pseudo_cluster_group_1,15,128,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916149, fen1.bg.cmc.msu.ru.10916149,2017-01-01 21:53,2017-01-01 21:56,2017-01-01 21:56,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916150, fen1.bg.cmc.msu.ru.10916150,2017-01-01 21:53,2017-01-01 21:56,2017-01-01 21:56,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916151, fen1.bg.cmc.msu.ru.10916151,2017-01-01 21:53,2017-01-01 21:56,2017-01-01 21:56,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916152, fen1.bg.cmc.msu.ru.10916152,2017-01-01 21:54,2017-01-01 21:56,2017-01-01 21:56,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916153, fen1.bg.cmc.msu.ru.10916153,2017-01-01 21:54,2017-01-01 21:56,2017-01-01 21:56,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916154, fen1.bg.cmc.msu.ru.10916154,2017-01-01 21:55,2017-01-01 21:56,2017-01-01 21:57,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916155, fen1.bg.cmc.msu.ru.10916155,2017-01-01 21:55,2017-01-01 21:57,2017-01-01 21:57,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916156, fen1.bg.cmc.msu.ru.10916156,2017-01-01 21:55,2017-01-01 21:57,2017-01-01 21:57,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916157, fen1.bg.cmc.msu.ru.10916157,2017-01-01 21:55,2017-01-01 21:57,2017-01-01 21:57,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916158, fen1.bg.cmc.msu.ru.10916158,2017-01-01 21:56,2017-01-01 21:57,2017-01-01 21:57,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916159, fen1.bg.cmc.msu.ru.10916159,2017-01-01 21:56,2017-01-01 21:57,2017-01-01 21:57,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916160, fen1.bg.cmc.msu.ru.10916160,2017-01-01 21:56,2017-01-01 21:57,2017-01-01 21:57,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916161, fen1.bg.cmc.msu.ru.10916161,2017-01-01 22:03,2017-01-01 22:03,2017-01-01 22:03,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916162, fen1.bg.cmc.msu.ru.10916162,2017-01-01 22:03,2017-01-01 22:03,2017-01-01 22:03,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916163, fen1.bg.cmc.msu.ru.10916163,2017-01-01 22:03,2017-01-01 22:04,2017-01-01 22:04,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916164, fen1.bg.cmc.msu.ru.10916164,2017-01-01 22:03,2017-01-01 22:04,2017-01-01 22:04,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916165, fen1.bg.cmc.msu.ru.10916165,2017-01-01 22:03,2017-01-01 22:04,2017-01-01 22:04,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916166, fen1.bg.cmc.msu.ru.10916166,2017-01-01 22:03,2017-01-01 22:04,2017-01-01 22:04,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916167, fen1.bg.cmc.msu.ru.10916167,2017-01-01 22:03,2017-01-01 22:04,2017-01-01 22:04,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916168, fen1.bg.cmc.msu.ru.10916168,2017-01-01 22:03,2017-01-01 22:04,2017-01-01 22:05,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916169, fen1.bg.cmc.msu.ru.10916169,2017-01-01 22:03,2017-01-01 22:03,2017-01-01 22:04,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916170, fen1.bg.cmc.msu.ru.10916170,2017-01-01 22:03,2017-01-01 22:05,2017-01-01 22:05,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916171, fen1.bg.cmc.msu.ru.10916171,2017-01-01 22:03,2017-01-01 22:05,2017-01-01 22:05,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916172, fen1.bg.cmc.msu.ru.10916172,2017-01-01 22:03,2017-01-01 22:05,2017-01-01 22:05,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916173, fen1.bg.cmc.msu.ru.10916173,2017-01-01 22:03,2017-01-01 22:05,2017-01-01 22:05,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916174, fen1.bg.cmc.msu.ru.10916174,2017-01-01 22:03,2017-01-01 22:05,2017-01-01 22:05,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916175, fen1.bg.cmc.msu.ru.10916175,2017-01-01 22:03,2017-01-01 22:05,2017-01-01 22:05,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916176, fen1.bg.cmc.msu.ru.10916176,2017-01-01 22:03,2017-01-01 22:05,2017-01-01 22:06,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916177, fen1.bg.cmc.msu.ru.10916177,2017-01-01 22:03,2017-01-01 22:05,2017-01-01 22:06,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916178, fen1.bg.cmc.msu.ru.10916178,2017-01-01 22:03,2017-01-01 22:06,2017-01-01 22:06,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916179, fen1.bg.cmc.msu.ru.10916179,2017-01-01 22:03,2017-01-01 22:06,2017-01-01 22:06,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916180, fen1.bg.cmc.msu.ru.10916180,2017-01-01 22:03,2017-01-01 22:06,2017-01-01 22:06,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916181, fen1.bg.cmc.msu.ru.10916181,2017-01-01 22:03,2017-01-01 22:06,2017-01-01 22:06,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916182, fen1.bg.cmc.msu.ru.10916182,2017-01-01 22:03,2017-01-01 22:06,2017-01-01 22:06,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916183, fen1.bg.cmc.msu.ru.10916183,2017-01-01 22:03,2017-01-01 22:06,2017-01-01 22:07,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916184, fen1.bg.cmc.msu.ru.10916184,2017-01-01 22:03,2017-01-01 22:07,2017-01-01 22:07,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916185, fen1.bg.cmc.msu.ru.10916185,2017-01-01 22:06,2017-01-01 22:07,2017-01-01 22:19,pseudo_cluster_user_5,pseudo_cluster_group_1,15,128,0.621,0.122,0.198,144.938,39.281,2.774,10.371,12, Completed
 fen1.bg.cmc.msu.ru.10916186, fen1.bg.cmc.msu.ru.10916186,2017-01-01 22:06,2017-01-01 22:07,2017-01-01 22:14,pseudo_cluster_user_5,pseudo_cluster_group_1,15,128,0.621,0.122,0.198,144.938,39.281,2.774,10.371,7, Completed
 fen1.bg.cmc.msu.ru.10916187, fen1.bg.cmc.msu.ru.10916187,2017-01-01 22:07,2017-01-01 22:15,2017-01-01 22:30,pseudo_cluster_user_5,pseudo_cluster_group_1,15,128,0.621,0.122,0.198,144.938,39.281,2.774,10.371,15, Removed
 fen1.bg.cmc.msu.ru.10916188, fen1.bg.cmc.msu.ru.10916188,2017-01-01 22:08,2017-01-01 22:19,2017-01-01 22:34,pseudo_cluster_user_5,pseudo_cluster_group_1,15,128,0.621,0.122,0.198,144.938,39.281,2.774,10.371,15, Removed
 fen1.bg.cmc.msu.ru.10916189, fen1.bg.cmc.msu.ru.10916189,2017-01-01 22:18,2017-01-01 22:30,2017-01-01 22:30,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916190, fen1.bg.cmc.msu.ru.10916190,2017-01-01 22:18,2017-01-01 22:30,2017-01-01 22:30,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916191, fen1.bg.cmc.msu.ru.10916191,2017-01-01 22:18,2017-01-01 22:30,2017-01-01 22:30,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916192, fen1.bg.cmc.msu.ru.10916192,2017-01-01 22:18,2017-01-01 22:31,2017-01-01 22:31,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916193, fen1.bg.cmc.msu.ru.10916193,2017-01-01 22:18,2017-01-01 22:31,2017-01-01 22:31,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916194, fen1.bg.cmc.msu.ru.10916194,2017-01-01 22:18,2017-01-01 22:31,2017-01-01 22:31,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916195, fen1.bg.cmc.msu.ru.10916195,2017-01-01 22:18,2017-01-01 22:32,2017-01-01 22:32,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916196, fen1.bg.cmc.msu.ru.10916196,2017-01-01 22:18,2017-01-01 22:32,2017-01-01 22:32,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916197, fen1.bg.cmc.msu.ru.10916197,2017-01-01 22:18,2017-01-01 22:32,2017-01-01 22:33,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916198, fen1.bg.cmc.msu.ru.10916198,2017-01-01 22:18,2017-01-01 22:33,2017-01-01 22:33,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916199, fen1.bg.cmc.msu.ru.10916199,2017-01-01 22:18,2017-01-01 22:33,2017-01-01 22:33,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916200, fen1.bg.cmc.msu.ru.10916200,2017-01-01 22:18,2017-01-01 22:33,2017-01-01 22:34,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916201, fen1.bg.cmc.msu.ru.10916201,2017-01-01 22:18,2017-01-01 22:34,2017-01-01 22:34,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916202, fen1.bg.cmc.msu.ru.10916202,2017-01-01 22:18,2017-01-01 22:34,2017-01-01 22:34,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916203, fen1.bg.cmc.msu.ru.10916203,2017-01-01 22:18,2017-01-01 22:34,2017-01-01 22:35,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916204, fen1.bg.cmc.msu.ru.10916204,2017-01-01 22:18,2017-01-01 22:34,2017-01-01 22:35,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916205, fen1.bg.cmc.msu.ru.10916205,2017-01-01 22:18,2017-01-01 22:35,2017-01-01 22:35,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916206, fen1.bg.cmc.msu.ru.10916206,2017-01-01 22:18,2017-01-01 22:35,2017-01-01 22:35,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916207, fen1.bg.cmc.msu.ru.10916207,2017-01-01 22:18,2017-01-01 22:35,2017-01-01 22:35,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916208, fen1.bg.cmc.msu.ru.10916208,2017-01-01 22:18,2017-01-01 22:35,2017-01-01 22:35,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916209, fen1.bg.cmc.msu.ru.10916209,2017-01-01 22:18,2017-01-01 22:35,2017-01-01 22:36,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916210, fen1.bg.cmc.msu.ru.10916210,2017-01-01 22:18,2017-01-01 22:35,2017-01-01 22:36,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,1, Completed
 fen1.bg.cmc.msu.ru.10916211, fen1.bg.cmc.msu.ru.10916211,2017-01-01 22:18,2017-01-01 22:36,2017-01-01 22:36,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
 fen1.bg.cmc.msu.ru.10916212, fen1.bg.cmc.msu.ru.10916212,2017-01-01 22:18,2017-01-01 22:36,2017-01-01 22:36,pseudo_cluster_user_5,pseudo_cluster_group_1,15,32,0.621,0.122,0.198,144.938,39.281,2.774,10.371,0, Completed
