id,name,time_submit,time_start,time_end,user,group,time_limit,required_cpus,used portion of time limit,avg_aborted_task,Average congestion,Average cpus,Duration (minutes),Wait time / time limit,Average time_limit,task_time,state
 fen1.bg.cmc.msu.ru.10917317, fen1.bg.cmc.msu.ru.10917317,2017-01-04 23:22,2017-01-04 23:27,2017-01-04 23:31,pseudo_cluster_user_10,pseudo_cluster_group_4,55,64,0.07,0.133,0.365,41.09,14.47,0.13,56.087,4, Removed
 fen1.bg.cmc.msu.ru.10917318, fen1.bg.cmc.msu.ru.10917318,2017-01-04 23:23,2017-01-04 23:27,2017-01-04 23:33,pseudo_cluster_user_10,pseudo_cluster_group_4,55,32,0.07,0.133,0.365,41.09,14.47,0.13,56.087,6, Removed
 fen1.bg.cmc.msu.ru.10917319, fen1.bg.cmc.msu.ru.10917319,2017-01-04 23:32,2017-01-04 23:32,2017-01-04 23:39,pseudo_cluster_user_10,pseudo_cluster_group_4,55,32,0.07,0.133,0.365,41.09,14.47,0.13,56.087,7, Completed
 fen1.bg.cmc.msu.ru.10917320, fen1.bg.cmc.msu.ru.10917320,2017-01-04 23:33,2017-01-04 23:34,2017-01-04 23:40,pseudo_cluster_user_10,pseudo_cluster_group_4,55,32,0.07,0.133,0.365,41.09,14.47,0.13,56.087,6, Completed
 fen1.bg.cmc.msu.ru.10917321, fen1.bg.cmc.msu.ru.10917321,2017-01-04 23:35,2017-01-04 23:39,2017-01-04 23:46,pseudo_cluster_user_10,pseudo_cluster_group_4,55,32,0.07,0.133,0.365,41.09,14.47,0.13,56.087,7, Completed
 fen1.bg.cmc.msu.ru.10917322, fen1.bg.cmc.msu.ru.10917322,2017-01-04 23:35,2017-01-04 23:40,2017-01-04 23:52,pseudo_cluster_user_10,pseudo_cluster_group_4,55,32,0.07,0.133,0.365,41.09,14.47,0.13,56.087,12, Completed
 fen1.bg.cmc.msu.ru.10917323, fen1.bg.cmc.msu.ru.10917323,2017-01-04 23:53,2017-01-04 23:53,2017-01-04 23:57,pseudo_cluster_user_10,pseudo_cluster_group_4,55,32,0.07,0.133,0.365,41.09,14.47,0.13,56.087,4, Completed
 fen1.bg.cmc.msu.ru.10917324, fen1.bg.cmc.msu.ru.10917324,2017-01-05 01:24,2017-01-05 01:24,2017-01-05 01:39,pseudo_cluster_user_11,pseudo_cluster_group_6,15,32,0.02,0.057,1.405,32.407,5.983,0.188,11.54,15, Removed
 fen1.bg.cmc.msu.ru.10917325, fen1.bg.cmc.msu.ru.10917325,2017-01-05 01:24,2017-01-05 01:24,2017-01-05 01:39,pseudo_cluster_user_11,pseudo_cluster_group_6,15,32,0.02,0.057,1.405,32.407,5.983,0.188,11.54,15, Removed
 fen1.bg.cmc.msu.ru.10917326, fen1.bg.cmc.msu.ru.10917326,2017-01-05 01:24,2017-01-05 01:24,2017-01-05 01:39,pseudo_cluster_user_11,pseudo_cluster_group_6,15,32,0.02,0.057,1.405,32.407,5.983,0.188,11.54,15, Removed
 fen1.bg.cmc.msu.ru.10917327, fen1.bg.cmc.msu.ru.10917327,2017-01-05 01:24,2017-01-05 01:39,2017-01-05 01:54,pseudo_cluster_user_11,pseudo_cluster_group_6,15,32,0.02,0.057,1.405,32.407,5.983,0.188,11.54,15, Removed
