time_limit,required_cpus,task_time,state
720,256,91.9999999960419, Completed
0,256,0, Completed
0,256,1.00000000325963, Completed
0,256,0, Completed
0,256,0, Completed
0,256,0.99999999278225, Completed
0,256,0, Completed
0,512,0.99999999278225, Removed
0,512,0, Removed
0,512,0, Removed
0,512,0, Removed
0,512,1.00000000325963, Removed
120,32,120.000000003492, Removed
0,256,0, Removed
120,32,27.000000004191, Completed
15,128,0, Completed
0,256,0, Completed
0,256,0.99999999278225, Completed
0,256,0, Completed
0,256,0, Completed
0,256,0, Completed
0,256,1.00000000325963, Completed
0,512,0, Removed
0,512,1.00000000325963, Removed
0,512,0, Removed
0,512,1.00000000325963, Removed
0,512,0, Removed
0,512,1.00000000325963, Removed
360,256,360, Removed
1440,512,0.99999999278225, Completed
1440,512,53.9999999979045, Completed
0,512,0, Removed
0,512,0, Removed
0,512,0, Removed
0,512,0, Removed
0,512,0, Removed
10,64,1.00000000325963, Completed
10,128,1.99999999604188, Completed
5,64,1.00000000325963, Completed
5,128,0, Completed
5,64,1.99999999604188, Completed
5,128,0, Completed
5,64,1.00000000325963, Completed
5,128,1.00000000325963, Completed
0,512,1.00000000325963, Removed
0,512,0.99999999278225, Removed
0,512,0, Removed
0,512,0, Removed
0,512,0, Removed
0,512,1.00000000325963, Removed
5,64,0, Completed
5,128,0, Completed
5,64,0, Completed
5,128,0, Completed
5,64,0.99999999278225, Completed
5,128,0, Completed
5,64,2.00000000651926, Completed
5,128,2.00000000651926, Completed
0,512,0, Removed
5,64,0, Completed
5,128,0, Completed
0,32,0, Removed
5,64,0, Completed
5,128,0, Completed
5,64,0, Completed
5,128,0, Completed
5,64,2.00000000651926, Completed
5,128,1.00000000325963, Completed
0,512,0, Removed
0,512,0, Removed
0,512,1.00000000325963, Removed
0,512,1.00000000325963, Removed
0,512,0, Removed
5,64,0, Completed
5,128,0, Completed
5,64,0.99999999278225, Completed
5,128,0.99999999278225, Completed
5,64,0, Completed
5,128,0, Completed
5,64,1.99999999604188, Completed
5,128,1.00000000325963, Completed
0,512,0.99999999278225, Removed
5,64,1.00000000325963, Completed
5,128,1.00000000325963, Completed
5,64,0, Completed
5,128,0, Completed
5,64,0, Completed
5,128,0, Completed
5,64,2.99999999930151, Completed
5,128,0.99999999278225, Completed
5,64,0, Completed
5,128,1.00000000325963, Completed
3,64,1.00000000325963, Completed
0,32,0, Completed
0,512,0.99999999278225, Removed
0,32,0, Completed
0,512,0, Removed
5,64,0.99999999278225, Completed
5,128,0.99999999278225, Completed
5,64,0, Completed
5,128,0, Completed
5,64,1.00000000325963, Completed
5,128,1.99999999604188, Completed
5,64,1.00000000325963, Completed
5,128,0, Completed
0,512,0, Removed
5,64,0, Completed
5,64,0, Completed
5,64,0, Completed
5,64,0, Completed
5,64,0, Completed
5,64,0, Completed
5,64,0, Completed
5,128,0, Completed
5,64,0, Completed
5,64,0.99999999278225, Completed
5,64,0, Completed
5,128,0, Completed
3,64,0.99999999278225, Completed
3,128,0, Completed
5,64,0, Completed
5,128,0, Completed
5,64,0, Completed
5,128,1.00000000325963, Completed
5,64,1.00000000325963, Completed
5,128,0, Completed
3,128,0, Completed
3,128,0, Completed
3,128,0, Completed
3,128,0, Completed
3,128,1.00000000325963, Completed
3,128,1.00000000325963, Completed
3,128,1.00000000325963, Completed
3,128,1.00000000325963, Completed
3,128,1.00000000325963, Completed
3,128,0.99999999278225, Completed
3,128,0, Completed
5,128,0, Completed
5,256,0, Completed
5,512,0, Completed
5,128,0, Completed
5,256,0, Completed
5,512,0, Completed
5,128,0.99999999278225, Completed
5,256,0.99999999278225, Completed
5,512,0, Completed
5,128,0, Completed
5,256,0, Completed
5,512,0, Completed
5,128,1.00000000325963, Completed
5,256,1.00000000325963, Completed
3,128,0, Completed
5,128,0, Completed
5,256,1.00000000325963, Completed
5,512,1.00000000325963, Completed
5,128,0, Completed
5,256,1.00000000325963, Completed
5,512,0, Completed
5,128,0.99999999278225, Completed
5,256,0.99999999278225, Completed
5,512,1.00000000325963, Completed
5,128,2.00000000651926, Completed
5,256,1.99999999604188, Completed
5,512,1.99999999604188, Completed
5,128,0, Completed
5,256,0, Completed
5,512,0, Completed
5,128,1.00000000325963, Completed
5,256,0, Completed
5,512,0, Completed
5,128,1.00000000325963, Completed
5,256,0, Completed
5,512,0.99999999278225, Completed
5,128,0.99999999278225, Completed
5,256,1.00000000325963, Completed
5,512,1.00000000325963, Completed
5,128,0, Completed
5,256,0, Completed
5,512,0, Completed
5,128,1.00000000325963, Completed
5,256,0, Completed
5,512,0, Completed
5,128,1.00000000325963, Completed
5,256,1.00000000325963, Completed
5,512,0, Completed
5,128,0.99999999278225, Completed
5,256,0.99999999278225, Completed
5,512,1.00000000325963, Completed
3,128,0, Completed
3,128,1.00000000325963, Completed
3,128,0.99999999278225, Completed
3,128,1.00000000325963, Completed
3,128,0, Completed
120,32,26.0000000009313, Completed
3,128,0, Completed
3,128,0, Completed
3,128,0, Completed
3,128,0, Completed
3,128,0, Completed
3,128,0, Completed
3,128,0, Completed
120,32,0, Completed
3,128,1.00000000325963, Completed
3,128,0.99999999278225, Completed
120,32,0, Completed
3,32,0, Completed
3,32,0, Completed
3,64,1.00000000325963, Completed
3,128,0.99999999278225, Completed
3,64,0, Completed
3,64,0, Completed
3,128,0, Completed
120,32,0, Completed
3,128,0, Completed
3,128,0, Completed
3,128,1.00000000325963, Completed
3,128,0, Completed
3,128,0, Completed
3,128,0, Completed
3,128,1.00000000325963, Completed
3,128,1.00000000325963, Completed
3,128,0, Completed
3,128,0, Completed
15,128,0, Completed
3,128,0, Completed
15,128,0, Completed
3,128,1.00000000325963, Completed
3,128,0, Completed
15,128,0, Completed
3,128,0, Completed
3,128,1.00000000325963, Completed
360,256,360, Removed
3,128,0, Completed
3,128,0, Completed
3,128,0, Completed
3,128,0, Completed
3,128,0, Completed
3,128,1.00000000325963, Completed
3,128,0, Completed
3,128,1.00000000325963, Completed
3,128,0, Completed
3,128,0, Completed
3,128,0, Completed
3,128,0, Completed
3,128,0, Completed
3,128,0, Completed
3,128,2.00000000651926, Removed
3,128,0, Completed
3,128,0, Completed
3,128,0, Completed
3,128,0, Completed
3,128,0, Completed
3,128,1.00000000325963, Completed
5,64,1.00000000325963, Completed
5,128,0, Completed
5,64,0, Completed
5,128,0, Completed
5,64,0, Completed
5,128,1.00000000325963, Completed
5,64,1.00000000325963, Completed
5,128,0.99999999278225, Completed
3,64,0, Completed
3,128,0, Completed
5,64,0, Completed
5,128,0, Completed
5,64,0, Completed
5,128,0, Completed
5,64,1.00000000325963, Completed
5,128,1.00000000325963, Completed
5,64,0, Completed
5,128,0, Completed
5,64,0, Completed
5,128,0.99999999278225, Completed
5,64,0, Completed
5,128,0, Completed
5,64,1.00000000325963, Completed
5,128,1.00000000325963, Completed
5,64,0, Completed
5,128,0, Completed
5,64,1.00000000325963, Completed
5,128,0, Completed
5,64,0, Completed
5,128,0, Completed
5,64,0.99999999278225, Completed
5,128,0.99999999278225, Completed
5,256,1.00000000325963, Completed
5,512,0.99999999278225, Completed
5,256,2.99999999930151, Completed
5,512,0.99999999278225, Completed
5,256,0, Completed
5,512,0, Completed
5,256,1.00000000325963, Completed
5,512,0, Completed
5,256,0, Completed
5,512,0, Completed
5,256,0, Completed
5,512,1.00000000325963, Completed
5,256,0, Completed
5,512,1.00000000325963, Completed
5,256,1.00000000325963, Completed
5,512,0, Completed
5,256,0, Completed
5,512,0, Completed
5,256,0, Completed
5,512,0, Completed
5,256,0, Completed
5,512,0, Completed
5,256,1.00000000325963, Completed
5,512,0, Completed
5,256,0.99999999278225, Completed
5,512,0, Completed
5,256,0, Completed
5,512,0, Completed
5,256,0, Completed
5,512,0.99999999278225, Completed
5,256,1.00000000325963, Completed
5,512,0.99999999278225, Completed
120,32,0, Completed
120,32,1.00000000325963, Completed
120,32,24.0000000048894, Completed
120,32,2.00000000651926, Completed
120,32,0, Completed
15,32,1.00000000325963, Completed
15,32,0.99999999278225, Completed
15,32,1.00000000325963, Completed
15,32,1.00000000325963, Completed
15,32,1.00000000325963, Completed
15,32,0.99999999278225, Completed
15,128,1.00000000325963, Completed
15,128,0, Completed
15,128,1.00000000325963, Completed
15,128,1.00000000325963, Completed
15,128,0, Completed
15,128,0, Completed
15,128,0, Completed
15,128,0, Completed
15,32,0, Completed
15,128,1.00000000325963, Completed
15,32,0, Completed
15,128,0, Completed
15,128,0, Completed
15,128,0, Completed
15,128,1.99999999604188, Completed
15,32,0, Completed
15,32,1.00000000325963, Completed
15,32,1.99999999604188, Completed
15,32,5.00000000582077, Completed
10,32,1.99999999604188, Completed
10,32,1.99999999604188, Completed
10,32,1.00000000325963, Completed
10,32,2.00000000651926, Completed
10,32,0, Completed
10,32,0.99999999278225, Completed
10,32,0.99999999278225, Completed
10,32,0, Completed
10,32,0, Completed
10,32,0, Completed
10,64,10.0000000011642, Removed
10,64,8.99999999790452, Removed
10,128,10.0000000011642, Removed
10,128,0, Completed
10,256,10.0000000011642, Removed
10,256,10.0000000011642, Removed
5,512,5.00000000582077, Removed
5,512,5.00000000582077, Removed
3,1024,2.99999999930151, Removed
3,1024,2.99999999930151, Removed
15,128,0, Completed
15,128,1.00000000325963, Completed
15,32,0, Completed
15,32,2.00000000651926, Completed
15,32,1.00000000325963, Completed
15,32,14.9999999965075, Removed
15,32,0.99999999278225, Completed
15,32,0, Completed
15,32,8.99999999790452, Removed
15,32,11.999999997206, Removed
15,32,13.9999999932479, Removed
15,32,0, Completed
15,128,1.00000000325963, Completed
15,128,0.99999999278225, Completed
15,128,11.0000000044238, Completed
5,32,0, Completed
5,32,0, Completed
15,128,4.99999999534339, Completed
5,32,0, Completed
15,64,14.9999999965075, Removed
5,32,0, Completed
15,128,4.99999999534339, Completed
5,32,0, Completed
15,64,11.999999997206, Removed
5,32,0, Completed
15,128,14.9999999965075, Removed
15,64,0.99999999278225, Removed
5,32,0, Completed
15,64,5.99999999860302, Removed
5,32,0, Completed
15,128,5.00000000582077, Completed
15,128,4.99999999534339, Completed
15,64,14.9999999965075, Removed
